Year,State,RTO Name,3,Fuel,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,Dec,Total
2014,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),4,PETROL,"1,886","1,855","2,324","2,161","2,339","2,007","2,516","1,545","1,523","2,126","2,829","1,726","24,837"
2014,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),5,PETROL/CNG,0,1,0,2,0,0,0,0,0,0,0,2,5
2014,Odisha,CHANDIKHOLE RTO - OR4( 23-OCT-2017 ),6,PETROL/LPG,0,0,0,0,1,3,2,1,2,0,3,0,12
2014,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),1,DIESEL,525,446,519,669,442,434,484,364,528,535,480,462,"5,888"
2014,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),2,ELECTRIC(BOV),2,3,3,2,3,0,1,3,0,3,1,0,21
2014,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),3,LPG ONLY,0,0,0,0,0,0,0,1,0,0,0,0,1
2014,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),4,NOT APPLICABLE,66,53,51,53,27,16,34,34,33,33,44,29,473
2014,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),5,PETROL,"3,865","3,184","4,189","4,573","3,958","3,747","3,645","2,608","3,339","4,790","3,680","3,403","44,981"
2014,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),6,PETROL/CNG,1,2,0,3,3,1,2,1,1,1,1,3,19
2014,Odisha,CUTTACK RTO - OR5( 31-MAY-2017 ),7,PETROL/LPG,0,1,2,1,1,2,0,0,3,5,3,0,18
2014,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),1,DIESEL,31,13,40,12,16,8,16,7,16,17,42,15,233
2014,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),2,NOT APPLICABLE,11,1,16,3,7,3,4,3,5,3,15,2,73
2014,Odisha,DEOGARH RTO - OR28( 23-OCT-2017 ),3,PETROL,66,48,106,92,139,90,126,84,103,7,192,86,"1,139"
2014,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),1,DIESEL,68,74,82,63,59,89,67,44,80,63,70,45,804
2014,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),2,NOT APPLICABLE,14,26,34,16,8,16,11,16,11,14,9,10,185
2014,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),3,PETROL,684,531,903,794,747,838,750,478,710,"1,037",714,552,"8,738"
2014,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),4,PETROL/CNG,1,2,1,3,1,1,1,0,1,1,0,0,12
2014,Odisha,DHENKANAL RTO - OR6( 07-NOV-2017 ),5,PETROL/LPG,1,1,3,2,2,3,0,0,1,1,1,0,15
2014,Odisha,GAJAPATI RTO - OR20( 07-NOV-2017 ),1,DIESEL,19,15,14,13,14,42,21,15,17,10,19,16,215
